transaccion_id,usuario_id,banco,timestamp,monto,metodo_pago,categoria_comercio,distrito_home,lat_transaccion,lon_transaccion,distancia_km_home,comercio_nuevo,tx_ultimos_15min,hora_dia,dia_semana,es_fraude
TX_100045,USR_234,Scotiabank,2026-07-08 21:24:05,32.93,Tarjeta de Credito,Casinos,Santiago de Surco,-11.91271,-77.0779,10.37,0,3,21,2,0
TX_100046,USR_120,Banco de la Nacion,2026-06-28 04:59:05,25.36,Yape,Grifos,Los Olivos,-11.94356,-76.9341,11.21,0,1,4,6,0
TX_100047,USR_428,BCP,2026-07-01 07:27:05,24.74,Yape,Supermercados,San Isidro,-12.06209,-76.9609,5.99,0,3,7,2,0
TX_100048,USR_266,Banco de la Nacion,2026-06-24 21:51:05,114.65,Plin,Grifos,Lima,-11.92353,-76.98499,7.04,0,3,21,2,0
TX_100049,USR_373,Interbank,2026-06-25 22:41:05,47.32,Tarjeta de Debito,Casinos,San Isidro,-11.90458,-77.06214,5.21,1,2,22,3,0
TX_100050,USR_487,BBVA,2026-06-30 22:35:05,71.51,Tarjeta de Credito,Supermercados,Los Olivos,-12.06248,-76.97933,5.21,0,1,22,1,0
TX_100051,USR_188,Interbank,2026-06-29 00:09:05,688.53,Tarjeta de Debito,Otros,San Isidro,-12.08486,-77.09374,1.4,0,3,0,0,0
TX_100052,USR_415,Scotiabank,2026-07-06 05:12:05,177.95,Plin,Supermercados,Santiago de Surco,-12.01327,-77.07623,5.33,1,2,5,0,0
TX_100053,USR_113,Banco de la Nacion,2026-06-22 00:30:05,451.33,Transferencia,Casinos,Miraflores,-12.10321,-77.03762,7.48,0,3,0,0,0
TX_100054,USR_341,Banco de la Nacion,2026-07-12 10:36:05,28.07,Yape,Otros,San Isidro,-12.14184,-77.01125,5.24,0,3,10,6,0
TX_100055,USR_364,Banco de la Nacion,2026-06-22 13:51:05,77.22,Tarjeta de Credito,Supermercados,Miraflores,-11.91354,-77.07589,10.15,0,1,13,0,0
TX_100056,USR_445,Interbank,2026-07-03 12:11:05,126.36,Transferencia,Supermercados,Los Olivos,-11.91856,-77.07601,4.5,1,1,12,4,0
TX_100057,USR_152,Scotiabank,2026-06-29 05:00:05,16.98,Plin,Grifos,Miraflores,-12.10934,-76.95482,2.67,0,1,5,0,0
TX_100058,USR_485,BBVA,2026-07-13 15:02:05,5.63,Tarjeta de Debito,Supermercados,San Isidro,-12.04806,-76.98606,9.14,0,3,15,0,0
TX_100059,USR_439,BBVA,2026-07-13 03:40:05,171.5,Yape,Casinos,San Isidro,-11.94224,-76.99325,7.49,0,1,3,0,0
TX_100060,USR_191,Interbank,2026-07-13 12:00:05,159.01,Tarjeta de Credito,Restaurantes,Lima,-11.98475,-77.00951,3.72,0,2,12,0,0
TX_100061,USR_466,Banco de la Nacion,2026-07-09 19:48:05,84.35,Transferencia,Restaurantes,San Isidro,-12.0513,-76.90469,6.2,0,3,19,3,0
TX_100062,USR_363,BCP,2026-06-20 02:08:05,105.9,Transferencia,Restaurantes,Miraflores,-11.96396,-77.09004,5.07,0,1,2,5,0
TX_100063,USR_134,Interbank,2026-07-04 23:31:05,85.54,Yape,Casinos,Lima,-11.92574,-77.06387,11.82,0,3,23,5,0
TX_100064,USR_305,Interbank,2026-06-27 18:37:05,8.64,Tarjeta de Debito,Restaurantes,San Isidro,-11.91846,-76.9705,6.84,0,3,18,5,0
TX_100065,USR_180,Scotiabank,2026-07-13 23:09:05,66.28,Plin,Grifos,San Isidro,-12.05529,-77.07273,2.94,0,2,23,0,0
TX_100066,USR_149,BBVA,2026-07-11 03:24:05,34.23,Tarjeta de Debito,Casinos,Los Olivos,-12.10661,-76.98212,5.91,0,2,3,5,0
TX_100067,USR_459,Interbank,2026-07-17 00:49:05,20.54,Tarjeta de Debito,Otros,Lima,-11.92179,-76.98645,9.96,0,2,0,4,0
TX_100068,USR_487,Interbank,2026-07-03 08:14:05,476.01,Tarjeta de Debito,Casinos,Los Olivos,-12.12686,-76.9058,7.46,0,3,8,4,0
TX_100069,USR_101,Banco de la Nacion,2026-06-30 23:56:05,142.2,Yape,Casinos,Los Olivos,-11.96958,-76.92332,9.61,0,3,23,1,0
TX_100070,USR_489,Banco de la Nacion,2026-06-25 11:16:05,200.66,Yape,Supermercados,Los Olivos,-12.11488,-76.91089,3.8,1,2,11,3,0
TX_100071,USR_153,BCP,2026-07-14 02:18:05,61.83,Plin,Supermercados,Santiago de Surco,-12.05265,-77.07728,10.47,0,3,2,1,0
TX_100072,USR_205,Scotiabank,2026-07-14 05:14:05,79.92,Tarjeta de Debito,Supermercados,Los Olivos,-12.04711,-76.92637,8.39,0,2,5,1,0
TX_100073,USR_359,BCP,2026-07-04 17:33:05,45.56,Yape,Tecnologia,Miraflores,-12.11031,-77.07418,8.08,0,2,17,5,0
TX_100074,USR_409,Banco de la Nacion,2026-07-02 22:14:05,20.3,Plin,Grifos,San Isidro,-11.91933,-76.97341,4.61,0,1,22,3,0
TX_100075,USR_290,BBVA,2026-06-24 11:55:05,34.59,Plin,Casinos,Santiago de Surco,-12.14933,-76.95598,10.46,0,2,11,2,0
TX_100076,USR_317,Banco de la Nacion,2026-06-25 22:27:05,244.56,Tarjeta de Debito,Casinos,Los Olivos,-11.92655,-77.06783,7.13,0,1,22,3,0
TX_100077,USR_143,Scotiabank,2026-06-30 23:09:05,174.77,Tarjeta de Credito,Supermercados,San Isidro,-11.92904,-76.97347,9.77,0,2,23,1,0
TX_100078,USR_261,Banco de la Nacion,2026-07-01 15:22:05,123.76,Tarjeta de Debito,Casinos,Lima,-12.07076,-77.08951,4.73,0,3,15,2,0
TX_100079,USR_301,Scotiabank,2026-07-08 09:42:05,101.68,Tarjeta de Credito,Otros,Lima,-11.97393,-77.04135,2.81,0,1,9,2,0
TX_100080,USR_369,Scotiabank,2026-07-01 01:20:05,388.49,Plin,Casinos,San Isidro,-12.0868,-76.91577,4.49,1,3,1,2,0
TX_100081,USR_450,Scotiabank,2026-07-05 21:00:05,16.33,Yape,Restaurantes,Miraflores,-11.96031,-77.06565,5.51,0,3,21,6,0
TX_100082,USR_403,Scotiabank,2026-07-02 23:48:05,54.4,Transferencia,Otros,San Isidro,-12.00972,-77.08695,6.17,0,2,23,3,0
TX_100083,USR_370,Scotiabank,2026-07-06 20:46:05,69.6,Plin,Otros,San Isidro,-12.07494,-77.01126,5.98,0,2,20,0,0
TX_100084,USR_314,BBVA,2026-07-12 02:13:05,233.78,Yape,Casinos,Santiago de Surco,-12.04994,-76.92988,6.28,0,3,2,6,0
TX_100085,USR_351,BCP,2026-06-26 13:32:05,739.22,Plin,Tecnologia,Lima,-11.97753,-77.08467,9.6,0,2,13,4,0
TX_100086,USR_289,Interbank,2026-07-03 10:40:05,46.3,Tarjeta de Debito,Supermercados,Lima,-11.92348,-77.02889,3.05,0,2,10,4,1
TX_100087,USR_395,BCP,2026-07-05 06:47:05,316.09,Tarjeta de Credito,Grifos,Los Olivos,-12.11732,-76.92005,4.36,0,2,6,6,0
TX_100088,USR_312,Scotiabank,2026-07-08 08:02:05,271.34,Plin,Grifos,San Isidro,-12.00716,-77.07637,10.48,0,3,8,2,0
TX_100089,USR_307,BBVA,2026-06-28 22:45:05,43.17,Yape,Restaurantes,San Isidro,-12.08657,-77.03787,6.41,0,1,22,6,0
TX_100090,USR_336,Banco de la Nacion,2026-07-03 21:52:05,81.46,Tarjeta de Debito,Grifos,Miraflores,-11.94966,-76.94432,6.62,0,1,21,4,0
TX_100091,USR_437,BBVA,2026-07-01 23:51:05,84.06,Transferencia,Grifos,Lima,-12.13244,-76.99136,5.7,1,3,23,2,0
TX_100092,USR_466,Scotiabank,2026-07-12 13:54:05,579.02,Tarjeta de Debito,Supermercados,Miraflores,-11.97776,-76.93353,6.31,0,2,13,6,0
TX_100093,USR_152,BBVA,2026-06-22 10:30:05,34.93,Tarjeta de Credito,Supermercados,Santiago de Surco,-12.10626,-77.07768,3.32,0,2,10,0,0
TX_100094,USR_379,BBVA,2026-07-08 15:57:05,245.79,Tarjeta de Debito,Tecnologia,Los Olivos,-12.0009,-76.91589,6.29,0,1,15,2,0
TX_100095,USR_316,Scotiabank,2026-07-01 10:51:05,66.01,Transferencia,Restaurantes,Miraflores,-11.94108,-76.91302,17.13,0,3,10,2,0
TX_100096,USR_351,BBVA,2026-07-06 06:23:05,201.88,Yape,Grifos,Lima,-11.96123,-77.06894,6.46,0,3,6,0,0
TX_100097,USR_287,Interbank,2026-06-20 23:57:05,86.71,Plin,Tecnologia,Santiago de Surco,-11.96176,-77.09322,1.51,1,2,23,5,0
TX_100098,USR_479,Interbank,2026-07-07 11:40:05,134.54,Tarjeta de Credito,Restaurantes,San Isidro,-12.02054,-76.90203,8.92,0,2,11,1,0
TX_100099,USR_140,BBVA,2026-07-04 17:01:05,273.12,Transferencia,Otros,Santiago de Surco,-11.92731,-77.00355,5.02,0,2,17,5,0
TX_100100,USR_256,Banco de la Nacion,2026-06-19 07:24:05,249.57,Tarjeta de Credito,Grifos,Miraflores,-12.00297,-76.98558,2.89,0,3,7,4,0
TX_100101,USR_114,Scotiabank,2026-06-30 04:31:05,306.96,Tarjeta de Debito,Grifos,Lima,-11.92062,-76.97682,9.96,0,1,4,1,0
TX_100102,USR_400,Interbank,2026-06-27 21:44:05,14.22,Tarjeta de Credito,Supermercados,Miraflores,-12.01337,-76.94207,3.32,0,3,21,5,0
TX_100103,USR_164,Banco de la Nacion,2026-06-24 09:10:05,181.67,Transferencia,Casinos,San Isidro,-12.02351,-76.9376,11.26,0,3,9,2,0
TX_100104,USR_444,BBVA,2026-06-19 16:49:05,27.62,Plin,Restaurantes,San Isidro,-12.09441,-77.06121,5.4,0,3,16,4,0
TX_100105,USR_426,Banco de la Nacion,2026-07-13 08:02:05,85.63,Plin,Grifos,Lima,-12.0138,-77.05267,8.24,0,1,8,0,0
TX_100106,USR_108,BCP,2026-07-08 20:57:05,124.31,Tarjeta de Credito,Restaurantes,Los Olivos,-12.11485,-76.92463,6.29,0,2,20,2,1
TX_100107,USR_443,Interbank,2026-07-09 07:02:05,82.31,Yape,Tecnologia,Santiago de Surco,-11.93258,-76.9361,3.85,0,2,7,3,1
TX_100108,USR_228,BBVA,2026-06-26 03:17:05,114.97,Tarjeta de Credito,Tecnologia,Santiago de Surco,-11.98103,-76.97648,7.46,0,3,3,4,0
TX_100109,USR_235,Scotiabank,2026-06-23 11:28:05,854.38,Tarjeta de Debito,Casinos,San Isidro,-11.90159,-76.90106,12.59,0,3,11,1,0
TX_100110,USR_162,BBVA,2026-06-23 19:04:05,26.79,Plin,Grifos,Miraflores,-12.12698,-76.95296,8.57,0,1,19,1,0
TX_100111,USR_238,Scotiabank,2026-06-19 21:27:05,173.8,Plin,Supermercados,Miraflores,-12.08983,-77.05683,6.81,0,1,21,4,0
TX_100112,USR_180,BBVA,2026-06-25 23:13:05,80.63,Plin,Grifos,Los Olivos,-11.93071,-76.93067,15.28,0,2,23,3,0
TX_100113,USR_491,Banco de la Nacion,2026-07-06 06:24:05,26.41,Yape,Restaurantes,Miraflores,-12.05119,-77.01705,3.93,1,3,6,0,0
TX_100114,USR_262,Banco de la Nacion,2026-06-19 09:28:05,30.93,Yape,Otros,Santiago de Surco,-12.03342,-77.09277,1.79,0,1,9,4,0
TX_100115,USR_388,Banco de la Nacion,2026-07-07 04:59:05,452.19,Transferencia,Tecnologia,Miraflores,-11.93484,-77.03572,1.28,0,1,4,1,0
TX_100116,USR_478,BCP,2026-07-02 17:59:05,322.54,Tarjeta de Credito,Restaurantes,Los Olivos,-12.01954,-76.94729,7.87,0,3,17,3,0
TX_100117,USR_360,Scotiabank,2026-07-03 08:59:05,361.34,Tarjeta de Credito,Casinos,Santiago de Surco,-12.10163,-76.90796,9.42,0,3,8,4,0
TX_100118,USR_330,Banco de la Nacion,2026-06-26 17:58:05,720.73,Tarjeta de Debito,Tecnologia,Miraflores,-11.92699,-77.04477,7.1,0,3,17,4,0
TX_100119,USR_140,BCP,2026-07-10 06:56:05,40.04,Plin,Supermercados,Santiago de Surco,-12.14223,-77.0507,10.85,1,3,6,4,0
TX_100120,USR_127,Scotiabank,2026-06-25 04:12:05,70.88,Yape,Tecnologia,San Isidro,-11.92615,-76.98728,7.74,0,3,4,3,0
TX_100121,USR_234,BBVA,2026-06-25 03:24:05,170.94,Tarjeta de Debito,Otros,San Isidro,-12.13737,-76.93766,4.81,0,3,3,3,0
TX_100122,USR_300,BCP,2026-07-09 13:01:05,104.19,Tarjeta de Debito,Grifos,San Isidro,-11.98354,-76.95069,3.16,0,1,13,3,0
TX_100123,USR_427,Interbank,2026-06-19 08:56:05,86.29,Yape,Otros,Miraflores,-12.13208,-76.98801,11.37,0,3,8,4,0
TX_100124,USR_367,BCP,2026-07-13 20:54:05,71.43,Tarjeta de Credito,Otros,Los Olivos,-11.97345,-76.97372,2.34,0,2,20,0,0
TX_100125,USR_132,BCP,2026-07-17 02:08:05,140.13,Plin,Grifos,Santiago de Surco,-12.14151,-77.05158,6.26,0,3,2,4,0
TX_100126,USR_147,Scotiabank,2026-06-19 05:46:05,133.56,Tarjeta de Credito,Tecnologia,Lima,-11.93939,-77.01349,4.34,0,2,5,4,0
TX_100127,USR_161,BBVA,2026-06-25 19:23:05,31.41,Tarjeta de Debito,Casinos,San Isidro,-12.03351,-77.04893,3.98,0,2,19,3,1
TX_100128,USR_315,Interbank,2026-07-10 22:48:05,100.72,Plin,Grifos,San Isidro,-12.12664,-76.92312,7.2,0,2,22,4,0
TX_100129,USR_392,Banco de la Nacion,2026-06-24 21:04:05,125.94,Transferencia,Grifos,Lima,-11.9733,-77.07749,3.63,0,3,21,2,0
TX_100130,USR_198,Banco de la Nacion,2026-07-07 23:02:05,131.7,Tarjeta de Debito,Supermercados,Lima,-12.02768,-76.96405,11.14,0,3,23,1,1
TX_100131,USR_271,BCP,2026-07-08 02:39:05,40.38,Tarjeta de Credito,Tecnologia,Miraflores,-12.10226,-77.04794,5.1,0,2,2,2,0
TX_100132,USR_459,Scotiabank,2026-07-01 17:19:05,208.38,Tarjeta de Credito,Grifos,Santiago de Surco,-12.14608,-77.00488,7.52,0,3,17,2,0
TX_100133,USR_313,Scotiabank,2026-07-01 11:34:05,8.83,Tarjeta de Credito,Casinos,San Isidro,-12.0455,-77.04012,8.07,0,1,11,2,0
TX_100134,USR_134,Banco de la Nacion,2026-06-22 11:19:05,70.74,Yape,Restaurantes,Los Olivos,-12.12859,-77.03535,7.58,0,1,11,0,0
TX_100135,USR_326,Interbank,2026-06-18 18:10:05,232.26,Tarjeta de Debito,Tecnologia,Miraflores,-12.12646,-77.04792,10.81,0,1,18,3,0
TX_100136,USR_200,BBVA,2026-07-03 22:05:05,129.48,Plin,Supermercados,Miraflores,-12.08317,-76.94944,3.63,0,1,22,4,0
TX_100137,USR_230,Interbank,2026-06-30 22:32:05,50.4,Tarjeta de Credito,Otros,Los Olivos,-11.99239,-77.02686,2.12,0,3,22,1,0
TX_100138,USR_356,BBVA,2026-07-05 04:38:05,183.09,Tarjeta de Credito,Grifos,Los Olivos,-12.01752,-76.95473,1.69,0,2,4,6,0
TX_100139,USR_104,Banco de la Nacion,2026-06-17 17:02:05,130.69,Yape,Casinos,Los Olivos,-12.13275,-77.00879,10.25,1,3,17,2,0
TX_100140,USR_317,BBVA,2026-06-26 22:25:05,243.62,Plin,Tecnologia,Lima,-11.90789,-76.99055,13.46,0,1,22,4,0
TX_100141,USR_354,Scotiabank,2026-07-10 07:10:05,204.22,Tarjeta de Debito,Casinos,San Isidro,-11.92821,-76.99134,4.24,0,3,7,4,0
TX_100142,USR_497,BCP,2026-07-10 12:52:05,146.28,Transferencia,Casinos,Lima,-12.08519,-76.90483,7.69,0,3,12,4,0
TX_100143,USR_458,BCP,2026-07-12 17:28:05,105.47,Yape,Otros,San Isidro,-12.11942,-77.02659,0.67,0,1,17,6,0
TX_100144,USR_382,Banco de la Nacion,2026-07-01 05:29:05,26.44,Tarjeta de Debito,Supermercados,Lima,-11.9144,-77.05846,3.23,0,2,5,2,0
TX_100145,USR_492,Scotiabank,2026-06-26 11:46:05,50.44,Transferencia,Tecnologia,Santiago de Surco,-12.03471,-76.91764,7.64,0,3,11,4,0
TX_100146,USR_306,Interbank,2026-06-17 21:36:05,86.48,Tarjeta de Credito,Grifos,San Isidro,-12.07221,-77.06503,1.85,0,3,21,2,0
TX_100147,USR_114,Scotiabank,2026-06-30 13:24:05,142.18,Tarjeta de Credito,Supermercados,Miraflores,-12.02741,-76.93312,5.62,0,1,13,1,0
TX_100148,USR_445,BCP,2026-06-30 06:40:05,113.14,Plin,Grifos,San Isidro,-11.95681,-77.06996,7.37,0,2,6,1,0
TX_100149,USR_141,BCP,2026-07-02 11:00:05,55.99,Transferencia,Restaurantes,San Isidro,-12.1079,-76.96826,8.52,0,1,11,3,0
TX_100150,USR_479,Scotiabank,2026-07-13 05:01:05,5.97,Tarjeta de Credito,Casinos,San Isidro,-11.95813,-77.06989,5.5,0,1,5,0,0
TX_100151,USR_278,Scotiabank,2026-06-18 08:59:05,107.85,Tarjeta de Credito,Restaurantes,Santiago de Surco,-11.96264,-76.91538,7.05,0,3,8,3,0
TX_100152,USR_162,BCP,2026-07-16 19:07:05,55.45,Plin,Casinos,Lima,-12.01516,-76.987,6.23,1,2,19,3,0
TX_100153,USR_451,Interbank,2026-07-11 18:36:05,203.98,Tarjeta de Debito,Otros,Miraflores,-11.93354,-77.03415,1.64,0,1,18,5,0
TX_100154,USR_330,Banco de la Nacion,2026-06-18 11:54:05,8.64,Tarjeta de Credito,Supermercados,Lima,-12.11696,-77.07194,8.24,0,3,11,3,0
TX_100155,USR_340,Banco de la Nacion,2026-07-12 13:12:05,136.86,Yape,Grifos,Lima,-12.00113,-77.02576,3.08,0,1,13,6,0
TX_100156,USR_151,Scotiabank,2026-07-16 06:16:05,430.74,Yape,Otros,Los Olivos,-12.03766,-76.959,1.27,0,3,6,3,0
TX_100157,USR_195,Banco de la Nacion,2026-07-05 06:11:05,33.75,Tarjeta de Debito,Grifos,Santiago de Surco,-12.04443,-77.02301,5.48,0,2,6,6,0
TX_100158,USR_487,BCP,2026-06-30 03:03:05,100.7,Transferencia,Supermercados,Los Olivos,-12.08686,-77.05078,10.02,1,1,3,1,0
TX_100159,USR_321,BCP,2026-06-17 13:10:05,19.38,Plin,Tecnologia,Santiago de Surco,-12.05693,-76.98452,2.86,0,2,13,2,0
TX_100160,USR_330,Scotiabank,2026-07-05 23:48:05,152.4,Yape,Restaurantes,Lima,-12.12296,-77.01644,0.8,0,2,23,6,0
TX_100161,USR_336,Scotiabank,2026-07-11 17:34:05,124.95,Yape,Restaurantes,Lima,-12.0871,-77.06684,2.41,0,3,17,5,0
TX_100162,USR_242,Scotiabank,2026-07-13 03:51:05,83.48,Tarjeta de Debito,Grifos,Santiago de Surco,-12.08201,-77.0692,4.75,0,1,3,0,0
TX_100163,USR_270,Interbank,2026-06-25 20:08:05,115.53,Transferencia,Grifos,Lima,-11.96983,-76.95851,6.59,0,1,20,3,0
TX_100164,USR_128,Banco de la Nacion,2026-07-15 02:50:05,345.34,Transferencia,Grifos,Lima,-12.13786,-76.90507,3.27,1,3,2,2,0
TX_100165,USR_135,Scotiabank,2026-06-24 03:45:05,37.78,Tarjeta de Debito,Supermercados,Miraflores,-11.9872,-77.05338,9.0,0,3,3,2,0
TX_100166,USR_112,BBVA,2026-07-01 00:11:05,8.42,Yape,Tecnologia,Los Olivos,-12.09465,-76.94537,8.37,0,2,0,2,0
TX_100167,USR_259,BBVA,2026-07-10 23:35:05,301.71,Plin,Restaurantes,Los Olivos,-12.12953,-77.08248,7.71,1,1,23,4,0
TX_100168,USR_426,BCP,2026-06-22 17:15:05,134.1,Yape,Otros,Los Olivos,-12.0748,-77.02368,5.78,0,1,17,0,0
TX_100169,USR_286,Banco de la Nacion,2026-06-21 14:49:05,336.99,Transferencia,Casinos,San Isidro,-12.09388,-76.99866,4.77,0,3,14,6,0
TX_100170,USR_342,Scotiabank,2026-07-16 03:04:05,141.3,Yape,Supermercados,Miraflores,-12.01199,-77.04625,4.85,0,3,3,3,0
TX_100171,USR_185,BBVA,2026-06-20 20:42:05,254.24,Plin,Restaurantes,Los Olivos,-12.06066,-76.99408,5.91,0,3,20,5,0
TX_100172,USR_383,Banco de la Nacion,2026-07-04 12:34:05,89.23,Tarjeta de Credito,Tecnologia,Los Olivos,-11.9085,-76.92348,2.01,0,1,12,5,0
